video_title,video_length,video_views,published_date,tournament
"Frostbite 2020 SSBU Pools - Unkind | Yoomoo (Mario) Vs Hollywood Banjo (Bowser, Banjo) Smash Singles",PT7M23S,2492,2020-02-22T20:26:47Z,Frostbite 2020
Frostbite 2020 SSBU Pools - TG | MVD (Snake) Vs Aexw (Zero Suit Samus) Smash Ultimate Singles - SSBU,PT7M59S,4792,2020-02-22T20:34:26Z,Frostbite 2020
Frostbite 2020 SSBU Pools - SSG | Maister (Mr. G&W) Vs. WinterShorts (Yoshi) Smash Ultimate Singles,PT7M24S,6857,2020-02-22T20:44:16Z,Frostbite 2020
"Frostbite 2020 SSBU Pools - WaDi (ROB) Vs. Blade (Joker, Young Link) Ultimate Singles - SSBU",PT6M57S,3334,2020-02-22T20:47:19Z,Frostbite 2020
Frostbite 2020 SSBU Pools - kept  (Villager) Vs. Burgandy  (Greninja) Smash Ultimate Singles - SSBU,PT7M41S,6449,2020-02-22T20:54:37Z,Frostbite 2020
Frostbite 2020 SSBU Pools - MVG | ScAtt (Mega Man) Vs. Shady (Diddy Kong) Smash Ultimate Singles,PT7M43S,2844,2020-02-22T20:59:34Z,Frostbite 2020
Frostbite 2020 SSBU Pools - IluZ | Ismon (Wario) Vs. AcaRa | BANG!  (Falco) Smash Ultimate Singles,PT13M55S,2998,2020-02-22T21:02:28Z,Frostbite 2020
Frostbite 2020 SSBU Pools - Liquid | Hungrybox (Puff) Vs. RFang (Young Link) Smash Ultimate Singles,PT7M33S,127558,2020-02-22T21:27:23Z,Frostbite 2020
Frostbite 2020 SSBU Pools - TonyZTank (Sonic) Vs. Carls493 (Shulk) Smash Ultimate Singles,PT16M31S,3530,2020-02-22T21:31:59Z,Frostbite 2020
Frostbite 2020 SSBU Pools - R2G | Kameme (Wario) Vs. Temptation (Fox) Smash Ultimate Singles,PT10M,4458,2020-02-22T21:45:00Z,Frostbite 2020
Frostbite 2020 SSBU Pools - tamim  (Bayonetta) Vs. Roxas (Joker) Smash Ultimate Singles,PT7M18S,6697,2020-02-22T21:44:53Z,Frostbite 2020
Frostbite 2020 SSBU Pools - djb | MattyG (Chrom) Vs. SFY | LordTet (Ice Climbers) Ultimate Singles,PT10M7S,3114,2020-02-22T22:05:01Z,Frostbite 2020
Frostbite 2020 SSBU Pools - Zen (Pikachu) Vs. MVG | Dark Wizzy (Mario) Smash Ultimate Singles,PT9M34S,7219,2020-02-22T22:03:54Z,Frostbite 2020
Frostbite 2020 SSBU Pools - LSG | Zie (Palutena) Vs. DNA (Dark Pit) Smash Ultimate Singles,PT8M52S,2723,2020-02-22T22:13:11Z,Frostbite 2020
Frostbite 2020 SSBU Pools - TLOC | Brr (Inkling ) Vs. Fatality (Mario) Smash Ultimate Singles,PT5M42S,15899,2020-02-22T22:11:50Z,Frostbite 2020
Frostbite 2020 SSBU Pools - ArtOfVinsanity (King Dedede) Vs. AAG | Ovie (Joker) Ultimate Singles,PT6M50S,2809,2020-02-22T22:18:00Z,Frostbite 2020
Frostbite 2020 SSBU Pools - Asylum | Sayuki (Chrom) Vs. LVD | Suarez (Yoshi) Smash Ultimate Singles,PT5M50S,3981,2020-02-22T22:20:06Z,Frostbite 2020
Frostbite 2020 SSBU Pools - Sinai | DM (Pikachu) Vs. YellowRello (Yoshi) Smash Ultimate Singles,PT8M27S,2103,2020-02-22T22:27:41Z,Frostbite 2020
Frostbite 2020 SSBU Pools - BL | benn 9 9 9 (Luigi) Vs. UTD BTB | Koi (Robin) Smash Ultimate Singles,PT12M44S,2669,2020-02-22T22:44:06Z,Frostbite 2020
Frostbite 2020 SSBU Pools - Gooshi | sam (Inkling) Vs. eUnited | Samsora (Peach) Ultimate Singles,PT7M17S,6866,2020-02-22T22:40:47Z,Frostbite 2020
Frostbite 2020 SSBU Pools - sugoi | ven (Zelda) Vs RWBY | WhiteFang (Ridley ) Smash Ultimate Singles,PT10M8S,11282,2020-02-22T22:41:48Z,Frostbite 2020
Frostbite 2020 SSBU Pools - Sleepyhead (Trainer) Vs GW | Zackray (ROB) Smash Ultimate Singles,PT5M14S,21362,2020-02-22T22:46:37Z,Frostbite 2020
"Frostbite 2020 SSBU Pools - NAKAT (Pichu, Lucina) Vs. Komota (Kirby) Smash Ultimate Singles",PT12M37S,9973,2020-02-22T22:58:55Z,Frostbite 2020
Frostbite 2020 SSBU Pools - Kwaz (Little Mac) Vs. CSE | Nito (Ken) Smash Ultimate Singles,PT6M20S,19236,2020-02-22T23:00:01Z,Frostbite 2020
Frostbite 2020 SSBU Pools - 16-Bit | LingLing (Peach) Vs. Troid (Inkling) Smash Ultimate Singles,PT9M,1941,2020-02-22T23:05:46Z,Frostbite 2020
Frostbite 2020 SSBU Pools - Dr. Watts (Ganondorf) Vs. blanc (Falco) Smash Ultimate Singles,PT8M13S,6255,2020-02-22T23:29:01Z,Frostbite 2020
Frostbite 2020 SSBU Pools - TG | Raito (Duck Hunt) Vs Axiom XL (Wario) Smash Ultimate Singles,PT6M25S,3933,2020-02-22T23:33:47Z,Frostbite 2020
Frostbite 2020 SSBU Pools - SG8 | Tea (Pac-Man) Vs. Loaf (Wario) Smash Ultimate Singles,PT10M39S,8245,2020-02-22T23:39:38Z,Frostbite 2020
Frostbite 2020 SSBU Pools - Solary | Glutonny  (Wario) Vs. UTDe FRKS | Kazma (ROB ) Ultimate Singles,PT5M52S,5161,2020-02-22T23:45:03Z,Frostbite 2020
"Frostbite 2020 SSBU Pools - AMG | 8BitMan (Diddy, ROB) Vs. kept (Villager) Smash Ultimate Singles",PT13M42S,9397,2020-02-22T23:52:09Z,Frostbite 2020
Frostbite 2020 SSBU Pools - Liquid | Dabuz (Olimar) Vs. WP | Suinoko (Young Link) Ultimate Singles,PT8M25S,6070,2020-02-22T23:57:29Z,Frostbite 2020
Frostbite 2020 SSBU Pools - NRG | Nairo (Palutena) Vs Sinai | Zenkai (Mewtwo) Smash Ultimate Singles,PT7M40S,40875,2020-02-23T00:06:36Z,Frostbite 2020
Frostbite 2020 SSBU Pools - Cosmos (Inkling) Vs. DNG | Nietono (Pichu) Smash Ultimate Singles,PT10M28S,25096,2020-02-23T00:16:28Z,Frostbite 2020
